Timestamp,1. In which capacity have you been involved in accelerator development process?,2. Which high-level diagram(s) best illustrate the programmable-accelerator(s) you have worked on?,3. How many years of experience do you have working with programmable accelerators,4. Data movement to/from PE is more difficult to get right as compared to optimally utilizing datapaths.,"6. Hardware support for ""expressing data dependency between operations"" is relevant for both correct functionality and performance.",7. It is significantly easier to optimized kernels for Hardware X as compared to Hardware Y,8. Kernel development effort to optimize a functionally correct kernel implementation is not affected by hardware ISA.,9. Tensor datapath (Matrix-Matrix operations) is much more difficult to use as compared to Vector datapath (Vector-Vector operations).,10. Number of data operation dimensions (Tensor Datapath = 2; Vector Datapath = 1) is the single most important factor impacting software development effort related to a datapath.,"11. Presence of ""data registers"" internal to a datapath demands development effort similar to an ""additional level of scratchpad in memory hierarchy""",12. Software stack needs to consider caches only for performance whereas scratchpads are relevant for both functional correctness and performance.,13. A new memory unit may be added to an accelerator memory hierarchy as one of the 3 configuration mentioned below. (3) requires the highest number of decisions to be made by compiler-backend for highly-optimized kernel generation.,14. Optimally utilizing all networks on Version A is more difficult than for version B,15. Distributing workloads is easier on Version C as compared to Version D.,16. Kernel development for an operator dividing work among multiple PEs on PE grid is much easier if every PE supports indirect addressing.,17. Both NoC latency and NoC bandwidth bottlenecks are equally difficult to identify and mitigate.,"This is a control question to filter out attentive survey submissions. We expect participants to select the ""middle"" option for this prompt.",18. How strongly do you agree with following analysis?,Any comments or questions (optional),19. A framework which maps impact of individual hardware features (similar to ones discussed in various questions in this survey) of a programmable accelerator to expected kernel and compiler-backend development effort is a useful analysis tool to enable discussions towards easy-to-utilize hardware design.,"5. DMA stands for ""Direct Memory Access"""
11/25/2019 16:01,N/A,SIMT (e.g. GPU),less than 1 year,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Disagree,,Disagree,,Agree,Strongly Agree
11/25/2019 16:03,Micro-architecture Specification,Processing Element (PE) Grid,3 - 5 years,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,,Agree,,Strongly agree,Strongly Agree
11/25/2019 16:16,"Hardware Simulator Developer, RTL Developer",Processing Element (PE) Grid,3 - 5 years,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,,Neutral,,Agree,Agree
11/25/2019 16:16,"Compiler Developer, Hardware Simulator Developer",Processing Element (PE) Grid,less than 1 year,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,,Agree,,Strongly agree,Strongly Agree
11/25/2019 16:43,"Hardware Simulator Developer, RTL Developer",Processing Element (PE) Grid,1 - 2 years,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,,Agree,,Agree,Strongly Agree
11/25/2019 17:37,"Compiler Developer, Kernel Developer, Programming Language/Model, Runtime, Micro-architecture Specification, Hardware Simulator Developer","SIMT (e.g. GPU), Single Processing Element (PE) (e.g. Google TPU[1]), Processing Element (PE) Grid",3 - 5 years,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strong Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly agree,,Strongly agree,Strongly Agree
11/25/2019 18:21,RTL Developer,Single Processing Element (PE) (e.g. Google TPU[1]),1 - 2 years,Strongly Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,,Agree,,Agree,Strongly Agree
11/25/2019 18:26,"Micro-architecture Specification, RTL Developer",Processing Element (PE) Grid,less than 1 year,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,,Strongly agree,,Strongly agree,Strongly Agree
11/25/2019 18:54,"Kernel Developer, Micro-architecture Specification, Hardware Simulator Developer","SIMT (e.g. GPU), Single Processing Element (PE) (e.g. Google TPU[1])",3 - 5 years,Agree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,,Agree,,Agree,Agree
11/25/2019 19:33,Hardware Simulator Developer,Single Processing Element (PE) (e.g. Google TPU[1]),less than 1 year,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Netural,Agree,Disagree,Disagree,Disagree,Neutral,,Agree,,Agree,Strongly Agree
11/25/2019 19:47,"Micro-architecture Specification, Hardware Simulator Developer",OoO processor,3 - 5 years,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,,Neutral,Strongly Agree
11/25/2019 19:55,"Compiler Developer, Programming Language/Model, Runtime, Micro-architecture Specification, Hardware Simulator Developer","SIMT (e.g. GPU), Single Processing Element (PE) (e.g. Google TPU[1]), Processing Element (PE) Grid",less than 1 year,Neutral,Agree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,,Disagree,,Agree,Strongly Agree
11/25/2019 20:13,"Micro-architecture Specification, Hardware Simulator Developer","SIMT (e.g. GPU), Processing Element (PE) Grid",less than 1 year,Disagree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,,Agree,,Strongly agree,Strongly Agree
11/25/2019 21:22,"Kernel Developer, Runtime, Micro-architecture Specification, RTL Developer",Processing Element (PE) Grid,1 - 2 years,Neutral,Strongly Agree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,,Neutral,,Strongly agree,Strongly Agree
11/25/2019 23:51,RTL Developer,Processing Element (PE) Grid,less than 1 year,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Netural,Agree,Neutral,Agree,Agree,Disagree,,Agree,,Agree,Strongly Agree
11/26/2019 9:38,"Runtime, RTL Developer",Single Processing Element (PE) (e.g. Google TPU[1]),less than 1 year,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,,Agree,,Agree,Strongly Agree
11/26/2019 11:11,"Runtime, RTL Developer",Single Processing Element (PE) (e.g. Google TPU[1]),less than 1 year,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strong Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,,Agree,,Neutral,Strongly Agree
11/26/2019 11:51,"Kernel Developer, Micro-architecture Specification, RTL Developer","SIMT (e.g. GPU), Processing Element (PE) Grid",1 - 2 years,Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Agree,Neutral,Disagree,,Disagree,,Agree,Strongly Agree
11/26/2019 12:33,Compiler Developer,SIMT (e.g. GPU),less than 1 year,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Netural,Agree,Disagree,Disagree,Neutral,Agree,,Agree,,Agree,Strongly Agree
11/26/2019 16:03,RTL Developer,Single Processing Element (PE) (e.g. Google TPU[1]),less than 1 year,Disagree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,,Agree,,Agree,Strongly Agree
